Id_Investment,y,x,Year,Country,Investor,Investor_2,Vector,Path,Area_EN,Area_ES,Detail_EN,Detail_ES,Investment,Location,Project_Type,Greenfield,Acquisition,Joint_Venture,Construction,Origin of seller,Stake,Research,Caso1,Link1,Caso2,Link2,Caso3,Link3,source 1 ,source 2,source 3,source 4,,,,,,,
007100,4.7340433328618206, -74.18464503881395,2015,Colombia,Foton Motor,,1,0,manufacturing ,manufacturas,Assembly of light trucks,Montaje de camiones ligeros,12,Cundinamarca,Greenfield,1,0,0,,,,,,,,,,,https://autosdeprimera.com/foton-planta-funza-colombia/,https://www.larepublica.co/empresas/foton-inauguro-primera-planta-de-ensamblaje-con-inversion-de-us-12-millones-2290086,https://investincolombia.com.co/es/recursos/foton-inaugura-en-colombia-la-primera-planta-de-ensamble-de-la-compania-en-el-continente,,,,,,,,
008100,,,2010,Colombia,Huawei,,1,0,ICT,TIC,Telecom infrastructure,Infraestructura telecom,188,Antioquia,Greenfield,1,0,0,,,,,,,,,,,Dussels Peters,,,,,,,,,,
009100,5.54547652999997, -70.921550121,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.51970358300003, -71.007914003,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.51005413799998, -71.019364721,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.71897023899998, -71.163040692,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.51978475800001, -71.00789556,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.73292565799998, -71.146906949,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.65332903699999, -71.255520233,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.700185954, -71.184707446,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,5.53346581800001, -71.004302429,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
009100,4.87592691200001, -70.909322846,2010,Colombia,Sinopec,,1,0,energy,energía,Hupecol (Houston American Energy),Hupecol (Houston American Energy),281,Casanare,Acquisition,0,1,0,,USA,,,,,,,,,https://www.lanota.com/index.php/CONFIDENCIAS/Sinopec-adquirio-activos-de-Hupecol-en-Colombia.html,Dealogic,,,,,,,,,
